Steam Sterilizer   Pre-Vacuum|Sterilization|Steam Sterilizer (Pre-Vacuum)|{"sterilization_modality":"steam","sterilizer_type":"pre_vacuum","terminal_sterilization":"boolean","load_types":"array","release_method":"array","software_controlled":"boolean","has_data_logger":"boolean","chamber_volume_L":"number"}|High|STD_ISO17665;STD_BI_INDICATORS
Steam Sterilizer   Gravity|Sterilization|Steam Sterilizer (Gravity)|{"sterilization_modality":"steam","sterilizer_type":"gravity","terminal_sterilization":"boolean","load_types":"array","release_method":"array","software_controlled":"boolean","has_data_logger":"boolean","chamber_volume_L":"number"}|High|STD_ISO17665;STD_BI_INDICATORS
Ethylene Oxide Sterilizer|Sterilization|Ethylene Oxide Sterilizer|{"sterilization_modality":"eto","terminal_sterilization":"boolean","cycle_humidity_control":"boolean","cycle_concentration_control":"boolean","software_controlled":"boolean","has_data_logger":"boolean","chamber_volume_L":"number","gas_supply_mode":"string"}|High|STD_ISO11135
EtO Aeration Cabinet / Room|Sterilization|EtO Aeration System|{"process_type":"aeration","temperature_controlled":"boolean","air_changes_controlled":"boolean","has_alarm":"boolean","has_data_logger":"boolean","capacity":"string"}|High|STD_ISO11135
Radiation Sterilization   Gamma|Sterilization|Radiation Sterilization (Gamma)|{"sterilization_modality":"radiation","radiation_type":"gamma","is_contracted_service":"boolean","dosimetry_program_present":"boolean","dose_range_kGy":"range","product_density_class":"string"}|High|STD_ISO11137
Radiation Sterilization   E-Beam|Sterilization|Radiation Sterilization (E-Beam)|{"sterilization_modality":"radiation","radiation_type":"e_beam","is_contracted_service":"boolean","dosimetry_program_present":"boolean","dose_range_kGy":"range","product_density_class":"string"}|High|STD_ISO11137
VHP Decontamination System|Sterilization|VHP Decontamination System|{"sterilization_modality":"vhp","application_space":"string","distribution_method":"string","has_data_logger":"boolean","has_alarm":"boolean","cycle_phases_configurable":"boolean"}|High|STD_ISO14937
Dry Heat Oven   Depyrogenation Capable|Sterilization|Dry Heat Oven|{"sterilization_modality":"dry_heat","max_temp_C":"number","has_data_logger":"boolean","depyrogenation_claimed":"boolean"}|High|STD_QMS_PROCESS_VALIDATION
Refrigerator (Controlled Temperature Storage)|Cold Chain & Storage|Refrigerator|{"storage_range_C":"range","has_alarm":"boolean","has_data_logger":"boolean","access_control":"string","use_case":"string","door_open_frequency":"string","power_backup":"boolean"}|Medium|STD_TEMP_CONTROL_STORAGE
Freezer (Controlled Temperature Storage)|Cold Chain & Storage|Freezer|{"storage_range_C":"range","has_alarm":"boolean","has_data_logger":"boolean","access_control":"string","power_backup":"boolean","door_open_frequency":"string"}|Medium|STD_TEMP_CONTROL_STORAGE
Ultra-Low Temperature Freezer|Cold Chain & Storage|Ultra-Low Freezer|{"storage_setpoint_C":"number","has_alarm":"boolean","has_data_logger":"boolean","power_backup":"boolean","access_control":"string","use_case":"string"}|High|STD_TEMP_CONTROL_STORAGE;STD_HUMAN_TISSUE_STORAGE
Cryogenic Storage System|Cold Chain & Storage|Cryogenic Storage|{"storage_medium":"string","level_monitoring":"boolean","has_alarm":"boolean","has_data_logger":"boolean","access_control":"string","use_case":"string","redundant_supply":"boolean"}|High|STD_HUMAN_TISSUE_STORAGE
Controlled-Rate Freezer|Cold Chain & Storage|Controlled-Rate Freezer|{"cooling_rate_C_per_min":"number","has_data_logger":"boolean","software_controlled":"boolean","use_case":"string","chamber_volume_L":"number"}|High|STD_QMS_PROCESS_VALIDATION
Heat Sealing Equipment|Packaging|Heat Sealer|{"sealing_process":"boolean","seal_temp_controlled":"boolean","seal_dwell_controlled":"boolean","seal_pressure_controlled":"boolean","automation_level":"string","has_data_logger":"boolean"}|High|STD_ISO11607
Tray Sealing Machine|Packaging|Tray Sealer|{"sealing_process":"boolean","platen_temp_controlled":"boolean","seal_dwell_controlled":"boolean","automation_level":"string","software_controlled":"boolean","has_data_logger":"boolean"}|High|STD_ISO11607
